rid,tier,canonical_predicate,predicate,head,tail,head_role,tail_role,frame,polarity,modality,epistemic,hedged,attributed_to,anchor,reified,confidence,verifier_score,evidence_chunk_ids,evidence_text,judge_span,judge_predicate,judge_direction,judge_polarity_modality,notes
#68:0,frame,fn:Losing:Owner->Possession,Losing,Gina,Jon,Owner,Possession,Losing,pos,none,asserted,False,,frame,True,,,be4fe3bec55dc1e9,"Gina: Hey Jon! Good to see you. What's up? Anything new?
Jon: Hey Gina! Good to see you too. Lost my job as a banker yesterday, so I'm gonna take a shot at starting my own business.
Gina: Sorry about your job Jon, but starting your own business sounds awesome! Unfortunately, I also lost my job at Door Dash this month. What business are you thinking of?",,,,,
#68:13,frame,fn:Making_arrangements:Agent->Event,Making_arrangements,Gina,dance session,Agent,Event,Making_arrangements,pos,none,asserted,False,,frame,True,,,e356d09b49ceffac 6011b2bf2dcec4d9,"Jon: Cool, Gina! I love all dances, but contemporary is my top pick. It's so expressive and powerful! What's your fave?
Gina: Yeah, me too! Contemporary dance is so expressive and graceful - it really speaks to me.
Jon: Wow, great idea! Let's go to a dance class, it'll be so much fun!
Gina: Yeah! Let's explore some new dance moves. We should plan a dance session soon!
Jon: Yeah definitely! Wanna see my moves next Fri? Can't wait!
--- chunk break ---
Gina: Yeah! Let's explore some new dance moves. We should plan a dance session soon!
Jon: Yeah definitely! Wanna see my moves next Fri? Can't wait!
Gina: Sounds great, Jon! Next Friday works. Let's boogie!
Jon: Wow, I'm excited too! This is gonna be great!
Gina: Wow! What did you get?",,,,,
#68:2076,frame,fn:Activity_ongoing:Activity->Agent,Activity_ongoing,dancing,banker,Activity,Agent,Activity_ongoing,pos,none,asserted,False,,frame,True,,,f2d31a1e1fd65a45,"Gina: Thanks! Taking risks is scary but it's the only way to grow, right? Just part of the journey to success.
Jon: Yeah, I totally agree - taking risks is key for success. It's made me grow, and even got me out of my secure 9-5 as a banker. Now, I'm aiming to turn my dancing passion into a business. I'm determined to make it work, I just know it! That being said, I definitely don't underestimate the difficulties - it ain't been a walk in the park, that's for sure.
Gina: It's tough starting a biz, but don't let it get you down. You can make your studio work, I'm sure. And remember, I'm always here for you.
Jon: Thanks, Gina. Your help means a lot. I'll keep plugging away and stay optimistic.
Gina: This quote kept me positive through tough times. We all need a push sometimes, right? Even made a tattoo to remind myself about it.",,,,,
#68:2091,frame,fn:Giving:Donor->Recipient,Giving,support,Gina,Donor,Recipient,Giving,pos,none,asserted,False,,frame,True,,,809338d2100ab32e 46d534fd52f0b68f,"Gina: Thanks! Got the tattoo a few years ago, it stands for freedom - dancing without worrying what people think. A reminder to follow my passions and express myself.
Jon: Nice reminder, Gina! It's so important to have freedom and express ourselves without worry. Dance gives me an escape to be myself.
Gina: Totally agree, Jon. Dancing lets us be ourselves and ain't nothing like the feeling it gives us. You're so dedicated to your studio, it's inspiring. Chase those dreams, buddy!
Jon: Thanks, Gina! Your support means so much. I'm gonna keep chasing after those dreams. Dance is my passion, and I'm gonna keep working hard to make it a success!
Gina: This is the right attitude! How have you been juggling dance and business goals?
--- chunk break ---
Jon: I won't give up, Gina! I'll keep pushing and working to make my dreams happen. Thanks for the support!
Jon: Gina, you won't believe it - I got mentored by this amazing business dude yesterday! It was really inspiring and now I'm even more pumped to chase my dreams. What's been up with you lately?
Gina: Wow, Jon! Mentors can really help. I'm working on my online store, growing the customer base. It's tough but I'm determined. How about you? Any new things happening?
Jon: Been doing some promotion for my business. Crazy ride so far, but I'm hanging in there. Got any tips for marketing?
Gina: Awesome! Marketing is key. Use social media channels and work with influencers for bigger reach.",,,,,
#68:2094,frame,fn:Giving:Recipient->Theme,Giving,Gina,freedom,Recipient,Theme,Giving,pos,none,asserted,False,,frame,True,,,809338d2100ab32e,"Gina: Thanks! Got the tattoo a few years ago, it stands for freedom - dancing without worrying what people think. A reminder to follow my passions and express myself.
Jon: Nice reminder, Gina! It's so important to have freedom and express ourselves without worry. Dance gives me an escape to be myself.
Gina: Totally agree, Jon. Dancing lets us be ourselves and ain't nothing like the feeling it gives us. You're so dedicated to your studio, it's inspiring. Chase those dreams, buddy!
Jon: Thanks, Gina! Your support means so much. I'm gonna keep chasing after those dreams. Dance is my passion, and I'm gonna keep working hard to make it a success!
Gina: This is the right attitude! How have you been juggling dance and business goals?",,,,,
#68:2105,frame,fn:Activity_ongoing:Activity->Agent,Activity_ongoing,biz ventures,Gina,Activity,Agent,Activity_ongoing,pos,none,asserted,False,,frame,True,,,343c808460701362,"Gina: Wow, Jon! You're amazing at juggling both your passions. Finding that happy medium is key - keep going and don't stop dreaming, buddy!
Jon: Thanks, Gina! Your pep-talk really meant a lot. I'm not gonna give up on my dreams - my dance studio and biz ventures need the hard work I'm putting in. Love having you in my corner, thanks for always being there!
Gina: Yeah Jon, I'm here for you! Chasing our dreams and helping each other out. Let's keep movin' forward!
Jon: Hi Gina! Been hectic for me lately. Started hitting the gym last week to stay on track with the venture. Gotta figure out how to balance it all, but it's going well. How about you?
Gina: Hey Jon! Great to hear from you. Been having some tough times lately.",,,,,
#68:2106,frame,fn:Activity_ongoing:Activity->Agent,Activity_ongoing,biz ventures,Jon,Activity,Agent,Activity_ongoing,pos,none,asserted,False,,frame,True,,,343c808460701362,"Gina: Wow, Jon! You're amazing at juggling both your passions. Finding that happy medium is key - keep going and don't stop dreaming, buddy!
Jon: Thanks, Gina! Your pep-talk really meant a lot. I'm not gonna give up on my dreams - my dance studio and biz ventures need the hard work I'm putting in. Love having you in my corner, thanks for always being there!
Gina: Yeah Jon, I'm here for you! Chasing our dreams and helping each other out. Let's keep movin' forward!
Jon: Hi Gina! Been hectic for me lately. Started hitting the gym last week to stay on track with the venture. Gotta figure out how to balance it all, but it's going well. How about you?
Gina: Hey Jon! Great to hear from you. Been having some tough times lately.",,,,,
#68:2107,frame,fn:Activity_ongoing:Activity->Agent,Activity_ongoing,dance studio,Gina,Activity,Agent,Activity_ongoing,pos,none,asserted,False,,frame,True,,,343c808460701362 5e94c8e4dafd6222 3c9b0c7c819a2d61 6b138a294d544683,"Gina: Wow, Jon! You're amazing at juggling both your passions. Finding that happy medium is key - keep going and don't stop dreaming, buddy!
Jon: Thanks, Gina! Your pep-talk really meant a lot. I'm not gonna give up on my dreams - my dance studio and biz ventures need the hard work I'm putting in. Love having you in my corner, thanks for always being there!
Gina: Yeah Jon, I'm here for you! Chasing our dreams and helping each other out. Let's keep movin' forward!
Jon: Hi Gina! Been hectic for me lately. Started hitting the gym last week to stay on track with the venture. Gotta figure out how to balance it all, but it's going well. How about you?
Gina: Hey Jon! Great to hear from you. Been having some tough times lately.
--- chunk break ---
Gina: Go for it, Jon! You got this! Don't let anything stop you. We're in this together!
Jon: Appreciate your encouragement. We'll keep pushing each other on this path.
Gina: Yeah! Let's keep each other going. We can do it!
Jon: Hi! Since we last spoke I am still working on the dance studio and things are looking up!
Gina: Hi! You're so inspiring taking it on and opening your own studio!
--- chunk break ---
Jon: Thanks! Your help means a lot. Keep you posted on the dance studio progress.
Gina: Thanks! Really appreciate you keeping me in the loop on this cool project. Can't wait to hear more and watch it come to life! Oh, btw, I had an interview for a design internship yesterday! It was so cool.
Jon: Wow, Gina, I'm stoked about this! Taking a risk is scary, but I'm sure following my dreams will pay off in the end. How did the interview go?
Gina: It was great!
Jon: Glad to hear it. Been practicing dance routines lately, it keeps my mind focused and motivated.
--- chunk break ---
<1 further chunk(s) evoke this frame instance; ids listed>",,,,,
#68:2131,frame,fn:Activity_ongoing:Activity->Agent,Activity_ongoing,journey,Gina,Activity,Agent,Activity_ongoing,pos,none,asserted,False,,frame,True,,,3b1e5c8cce86ccd0,"Jon: Yeah, it's been a rollercoaster. But your success really inspires me to keep pushing forward. Your determination is awesome!
Gina: Thanks, Jon! Your words are really encouraging. Glad my journey is inspiring others.
Jon: Yeah, totally! It's great we both face the same challenges, it motivates us and it's like having a partner to dance with!
Gina: Yep! We're both on different paths, but it's nice to have someone to root for us. We can do it!
Jon: Definitely! Having someone back us up is great. Let's keep going and reach success together!",,,,,
#68:2133,frame,fn:Activity_ongoing:Activity->Agent,Activity_ongoing,journey,partner,Activity,Agent,Activity_ongoing,pos,none,asserted,False,,frame,True,,,3b1e5c8cce86ccd0,"Jon: Yeah, it's been a rollercoaster. But your success really inspires me to keep pushing forward. Your determination is awesome!
Gina: Thanks, Jon! Your words are really encouraging. Glad my journey is inspiring others.
Jon: Yeah, totally! It's great we both face the same challenges, it motivates us and it's like having a partner to dance with!
Gina: Yep! We're both on different paths, but it's nice to have someone to root for us. We can do it!
Jon: Definitely! Having someone back us up is great. Let's keep going and reach success together!",,,,,
