rid,tier,canonical_predicate,predicate,head,tail,head_role,tail_role,frame,polarity,modality,epistemic,hedged,attributed_to,anchor,reified,confidence,verifier_score,evidence_chunk_ids,evidence_text,judge_span,judge_predicate,judge_direction,judge_polarity_modality,notes
#104:0,frame,fn:Being_employed:Employee->Position,fn:Being_employed,banker,job,Employee,Position,Being_employed,pos,none,asserted,False,,frame,True,,,1993403cdb336ac6,"4:04 pm on 20 January, 2023 | Gina: Hey Jon! Good to see you. What's up? Anything new?
4:04 pm on 20 January, 2023 | Jon: Hey Gina! Good to see you too. Lost my job as a banker yesterday, so I'm gonna take a shot at starting my own business.
4:04 pm on 20 January, 2023 | Gina: Sorry about your job Jon, but starting your own business sounds awesome! Unfortunately, I also lost my job at Door Dash this month. What business are you thinking of?
4:04 pm on 20 January, 2023 | Jon: Sorry to hear that! I'm starting a dance studio 'cause I'm passionate about dancing and it'd be great to share it with others.
4:04 pm on 20 January, 2023 | Gina: That's cool, Jon! What got you into this biz?
4:04 pm on 20 January, 2023 | Jon: I've been into dancing since I was a kid and it's been my passion and escape. I wanna start a dance studio so I can teach others the joy that dancing brings me.
4:04 pm on 20 January, 2023 | Gina: Wow Jon, same here! Dance is pretty much my go-to for stress relief. Got any fave styles?
4:04 pm on 20 January, 2023 | Jon: Cool, Gina! I love all dances, but contemporary is my top pick. It's so expressive and powerful! What's your fave?
4:04 pm on 20 January, 2023 | Gina: Yeah, me too! Contemporary dance is so expressive and graceful - it really speaks to me.
4:04 pm on 20 January, 2023 | Jon: Wow, great idea! Let's go to a dance class, it'll be so much fun!
4:04 pm on 20 January, 2023 | Gina: Yeah! Let's explore some new dance moves. We should plan a dance session soon!",0,1,0,1,
#104:1,frame,fn:Being_employed:Employee->Position,fn:Being_employed,Gina,job,Employee,Position,Being_employed,pos,none,asserted,False,,frame,True,,,1993403cdb336ac6 c378653b61d30805 dd8f374c5e22ca6d,"4:04 pm on 20 January, 2023 | Gina: Hey Jon! Good to see you. What's up? Anything new?
4:04 pm on 20 January, 2023 | Jon: Hey Gina! Good to see you too. Lost my job as a banker yesterday, so I'm gonna take a shot at starting my own business.
4:04 pm on 20 January, 2023 | Gina: Sorry about your job Jon, but starting your own business sounds awesome! Unfortunately, I also lost my job at Door Dash this month. What business are you thinking of?
4:04 pm on 20 January, 2023 | Jon: Sorry to hear that! I'm starting a dance studio 'cause I'm passionate about dancing and it'd be great to share it with others.
4:04 pm on 20 January, 2023 | Gina: That's cool, Jon! What got you into this biz?
4:04 pm on 20 January, 2023 | Jon: I've been into dancing since I was a kid and it's been my passion and escape. I wanna start a dance studio so I can teach others the joy that dancing brings me.
4:04 pm on 20 January, 2023 | Gina: Wow Jon, same here! Dance is pretty much my go-to for stress relief. Got any fave styles?
4:04 pm on 20 January, 2023 | Jon: Cool, Gina! I love all dances, but contemporary is my top pick. It's so expressive and powerful! What's your fave?
4:04 pm on 20 January, 2023 | Gina: Yeah, me too! Contemporary dance is so expressive and graceful - it really speaks to me.
4:04 pm on 20 January, 2023 | Jon: Wow, great idea! Let's go to a dance class, it'll be so much fun!
4:04 pm on 20 January, 2023 | Gina: Yeah! Let's explore some new dance moves. We should plan a dance session soon!
--- chunk break ---
10:43 am on 4 February, 2023 | Gina: Searching for the perfect dance studio's a tough job, Jon. Hang in there and you'll find it soon!
10:43 am on 4 February, 2023 | Jon: Thanks! Appreciate your encouragement - it means a lot! I'm working on my business and some new dance routines - rehearsing hard for an upcoming show. I'm passionate about dancing and it brings me so much joy and fulfillment.
10:43 am on 4 February, 2023 | Gina: Wow, Jon! You're so talented! What show ya got planned?
10:43 am on 4 February, 2023 | Jon: I'm getting ready for a dance comp near me next month. It's a great chance for me to show my skillz and, hopefully, get some props from the dance fam. Super stoked!
10:43 am on 4 February, 2023 | Gina: Wow Jon, you're gonna kill it in that competition. Your hard work and talent will pay off! Good luck.
10:43 am on 4 February, 2023 | Jon: Thanks! Your help means a lot. I'll do my best to make you proud!
10:43 am on 4 February, 2023 | Gina: No doubt, Jon you've got this. Your passion and commitment are awesome! Keep it up!
10:43 am on 4 February, 2023 | Jon: Thanks! I'm going for my dreams!
10:43 am on 4 February, 2023 | Gina: Absolutely Jon. I'm always here to cheer you on. Make your dreams happen - keep going and believe in yourself. You got this!
10:43 am on 4 February, 2023 | Jon: Thanks, Gina! Your kind words mean a lot. I won't give up!
--- chunk break ---
2:35 pm on 16 March, 2023 | Jon: Hi Gina! Been hectic for me lately. Started hitting the gym last week to stay on track with the venture. Gotta figure out how to balance it all, but it's going well. How about you?
2:35 pm on 16 March, 2023 | Gina: Hey Jon! Great to hear from you. Been having some tough times lately.
2:35 pm on 16 March, 2023 | Jon: Oof, sorry to hear that. What's up? Is there anything I can do to help?
2:35 pm on 16 March, 2023 | Gina: Thanks, Jon! Appreciate your offer. Since I lost my job at Door Dash, things have been tough. But here's some good news - I've got something to share!
2:35 pm on 16 March, 2023 | Jon: Wow, that's awesome! Can't wait to hear it!
2:35 pm on 16 March, 2023 | Gina: Yay! My online clothes store is open! I've been dreaming of this for a while now - can't wait to see what happens!
2:35 pm on 16 March, 2023 | Jon: Congrats! That's awesome! What gave you the idea to start the online store?
2:35 pm on 16 March, 2023 | Gina: Thanks! I'm passionate about fashion trends and finding unique pieces. Plus, I wanted to blend my love for dance and fashion, so it was a perfect match.
2:35 pm on 16 March, 2023 | Jon: Wow, that's awesome! Combining your two interests into a store is super cool. Best of luck with it!
2:35 pm on 16 March, 2023 | Gina: Thanks! How is biz going? I hope it's going well!",0,1,1,1,
#104:11,frame,fn:Assistance:Focal_entity->Helper,fn:Assistance,Jon,Mentors,Focal_entity,Helper,Assistance,pos,none,asserted,False,,frame,True,0.5,,f615b5e745db1073,"8:29 pm on 13 June, 2023 | Jon: Yeah, a mentor can do wonders. Guidance and support can help dancers really shine.
8:29 pm on 13 June, 2023 | Gina: Nice one, Jon! How've you been using it?
8:29 pm on 13 June, 2023 | Jon: I'm using it to stay organized and motivated. It sets goals, tracks my achievements and helps me find areas to improve.
8:29 pm on 13 June, 2023 | Gina: Really cool system! Being organized sure is key for getting stuff done. How do you keep up with your goals and progress?
8:29 pm on 13 June, 2023 | Jon: I also use whiteboard to stay on track, visualize goals and tokenize successes. It keeps me motivated and focused.
8:29 pm on 13 June, 2023 | Gina: Cool! Are you using different colors?
8:29 pm on 13 June, 2023 | Jon: Yes. I color-code achievements so I can easily track my progress and stay motivated.
8:29 pm on 13 June, 2023 | Gina: Wow, color-coding is a great way to track your progress & stay motivated. Keep it up!
8:29 pm on 13 June, 2023 | Jon: Thanks! It helps me stay motivated and reminds me why I'm doing this.
8:29 pm on 13 June, 2023 | Gina: Yeah, its a great idea!
8:29 pm on 13 June, 2023 | Jon: Thanks!
8:29 pm on 13 June, 2023 | Gina: Remember that staying positive is very important.  Rock on!
8:29 pm on 13 June, 2023 | Jon: Thanks, Gina! Your support's really been awesome.
8:29 pm on 13 June, 2023 | Gina: Thanks! Keep going for your dreams and don't quit!
8:29 pm on 13 June, 2023 | Jon: I won't give up, Gina! I'll keep pushing and working to make my dreams happen. Thanks for the support!",0,1,1,0,
#104:2,frame,fn:Being_employed:Employee->Position,fn:Being_employed,Jon,job,Employee,Position,Being_employed,pos,none,asserted,False,,frame,True,,,1993403cdb336ac6 c378653b61d30805,"4:04 pm on 20 January, 2023 | Gina: Hey Jon! Good to see you. What's up? Anything new?
4:04 pm on 20 January, 2023 | Jon: Hey Gina! Good to see you too. Lost my job as a banker yesterday, so I'm gonna take a shot at starting my own business.
4:04 pm on 20 January, 2023 | Gina: Sorry about your job Jon, but starting your own business sounds awesome! Unfortunately, I also lost my job at Door Dash this month. What business are you thinking of?
4:04 pm on 20 January, 2023 | Jon: Sorry to hear that! I'm starting a dance studio 'cause I'm passionate about dancing and it'd be great to share it with others.
4:04 pm on 20 January, 2023 | Gina: That's cool, Jon! What got you into this biz?
4:04 pm on 20 January, 2023 | Jon: I've been into dancing since I was a kid and it's been my passion and escape. I wanna start a dance studio so I can teach others the joy that dancing brings me.
4:04 pm on 20 January, 2023 | Gina: Wow Jon, same here! Dance is pretty much my go-to for stress relief. Got any fave styles?
4:04 pm on 20 January, 2023 | Jon: Cool, Gina! I love all dances, but contemporary is my top pick. It's so expressive and powerful! What's your fave?
4:04 pm on 20 January, 2023 | Gina: Yeah, me too! Contemporary dance is so expressive and graceful - it really speaks to me.
4:04 pm on 20 January, 2023 | Jon: Wow, great idea! Let's go to a dance class, it'll be so much fun!
4:04 pm on 20 January, 2023 | Gina: Yeah! Let's explore some new dance moves. We should plan a dance session soon!
--- chunk break ---
10:43 am on 4 February, 2023 | Gina: Searching for the perfect dance studio's a tough job, Jon. Hang in there and you'll find it soon!
10:43 am on 4 February, 2023 | Jon: Thanks! Appreciate your encouragement - it means a lot! I'm working on my business and some new dance routines - rehearsing hard for an upcoming show. I'm passionate about dancing and it brings me so much joy and fulfillment.
10:43 am on 4 February, 2023 | Gina: Wow, Jon! You're so talented! What show ya got planned?
10:43 am on 4 February, 2023 | Jon: I'm getting ready for a dance comp near me next month. It's a great chance for me to show my skillz and, hopefully, get some props from the dance fam. Super stoked!
10:43 am on 4 February, 2023 | Gina: Wow Jon, you're gonna kill it in that competition. Your hard work and talent will pay off! Good luck.
10:43 am on 4 February, 2023 | Jon: Thanks! Your help means a lot. I'll do my best to make you proud!
10:43 am on 4 February, 2023 | Gina: No doubt, Jon you've got this. Your passion and commitment are awesome! Keep it up!
10:43 am on 4 February, 2023 | Jon: Thanks! I'm going for my dreams!
10:43 am on 4 February, 2023 | Gina: Absolutely Jon. I'm always here to cheer you on. Make your dreams happen - keep going and believe in yourself. You got this!
10:43 am on 4 February, 2023 | Jon: Thanks, Gina! Your kind words mean a lot. I won't give up!",0,1,1,1,
#104:2062,frame,fn:Cause_motion:Agent->Goal,fn:Cause_motion,Jon,business,Agent,Goal,Cause_motion,pos,none,asserted,False,,frame,True,,,f89f0d642e211459,"9:32 am on 8 February, 2023 | Gina: This is the right attitude! How have you been juggling dance and business goals?
9:32 am on 8 February, 2023 | Jon: Thanks! Juggling both my passions can be tricky, but so rewarding. Dancing and running my biz need hard work, plus they give me energy for each other. My dance moves get me pumped to tackle my business goals, and successes there boost my drive to keep dreaming on the dance floor. It's a balancing act, but fun.
9:32 am on 8 February, 2023 | Gina: Wow, Jon! You're amazing at juggling both your passions. Finding that happy medium is key - keep going and don't stop dreaming, buddy!
9:32 am on 8 February, 2023 | Jon: Thanks, Gina! Your pep-talk really meant a lot. I'm not gonna give up on my dreams - my dance studio and biz ventures need the hard work I'm putting in. Love having you in my corner, thanks for always being there!
9:32 am on 8 February, 2023 | Gina: Yeah Jon, I'm here for you! Chasing our dreams and helping each other out. Let's keep movin' forward!",0,0,1,1,
#104:2063,frame,fn:Cause_motion:Agent->Goal,fn:Cause_motion,Jon,dance,Agent,Goal,Cause_motion,pos,none,asserted,False,,frame,True,,,f89f0d642e211459,"9:32 am on 8 February, 2023 | Gina: This is the right attitude! How have you been juggling dance and business goals?
9:32 am on 8 February, 2023 | Jon: Thanks! Juggling both my passions can be tricky, but so rewarding. Dancing and running my biz need hard work, plus they give me energy for each other. My dance moves get me pumped to tackle my business goals, and successes there boost my drive to keep dreaming on the dance floor. It's a balancing act, but fun.
9:32 am on 8 February, 2023 | Gina: Wow, Jon! You're amazing at juggling both your passions. Finding that happy medium is key - keep going and don't stop dreaming, buddy!
9:32 am on 8 February, 2023 | Jon: Thanks, Gina! Your pep-talk really meant a lot. I'm not gonna give up on my dreams - my dance studio and biz ventures need the hard work I'm putting in. Love having you in my corner, thanks for always being there!
9:32 am on 8 February, 2023 | Gina: Yeah Jon, I'm here for you! Chasing our dreams and helping each other out. Let's keep movin' forward!",0,0,1,1,
#104:2064,frame,fn:Cause_motion:Agent->Goal,fn:Cause_motion,Jon,goals,Agent,Goal,Cause_motion,pos,none,asserted,False,,frame,True,,,f89f0d642e211459,"9:32 am on 8 February, 2023 | Gina: This is the right attitude! How have you been juggling dance and business goals?
9:32 am on 8 February, 2023 | Jon: Thanks! Juggling both my passions can be tricky, but so rewarding. Dancing and running my biz need hard work, plus they give me energy for each other. My dance moves get me pumped to tackle my business goals, and successes there boost my drive to keep dreaming on the dance floor. It's a balancing act, but fun.
9:32 am on 8 February, 2023 | Gina: Wow, Jon! You're amazing at juggling both your passions. Finding that happy medium is key - keep going and don't stop dreaming, buddy!
9:32 am on 8 February, 2023 | Jon: Thanks, Gina! Your pep-talk really meant a lot. I'm not gonna give up on my dreams - my dance studio and biz ventures need the hard work I'm putting in. Love having you in my corner, thanks for always being there!
9:32 am on 8 February, 2023 | Gina: Yeah Jon, I'm here for you! Chasing our dreams and helping each other out. Let's keep movin' forward!",0,0,1,1,
#104:2069,frame,fn:Being_employed:Employee->Employer,fn:Being_employed,Gina,Door Dash,Employee,Employer,Being_employed,pos,none,asserted,False,,frame,True,,,dd8f374c5e22ca6d,"2:35 pm on 16 March, 2023 | Jon: Hi Gina! Been hectic for me lately. Started hitting the gym last week to stay on track with the venture. Gotta figure out how to balance it all, but it's going well. How about you?
2:35 pm on 16 March, 2023 | Gina: Hey Jon! Great to hear from you. Been having some tough times lately.
2:35 pm on 16 March, 2023 | Jon: Oof, sorry to hear that. What's up? Is there anything I can do to help?
2:35 pm on 16 March, 2023 | Gina: Thanks, Jon! Appreciate your offer. Since I lost my job at Door Dash, things have been tough. But here's some good news - I've got something to share!
2:35 pm on 16 March, 2023 | Jon: Wow, that's awesome! Can't wait to hear it!
2:35 pm on 16 March, 2023 | Gina: Yay! My online clothes store is open! I've been dreaming of this for a while now - can't wait to see what happens!
2:35 pm on 16 March, 2023 | Jon: Congrats! That's awesome! What gave you the idea to start the online store?
2:35 pm on 16 March, 2023 | Gina: Thanks! I'm passionate about fashion trends and finding unique pieces. Plus, I wanted to blend my love for dance and fashion, so it was a perfect match.
2:35 pm on 16 March, 2023 | Jon: Wow, that's awesome! Combining your two interests into a store is super cool. Best of luck with it!
2:35 pm on 16 March, 2023 | Gina: Thanks! How is biz going? I hope it's going well!",1,1,1,1,
#104:2070,frame,fn:Being_employed:Employer->Position,fn:Being_employed,Door Dash,job,Employer,Position,Being_employed,pos,none,asserted,False,,frame,True,,,dd8f374c5e22ca6d,"2:35 pm on 16 March, 2023 | Jon: Hi Gina! Been hectic for me lately. Started hitting the gym last week to stay on track with the venture. Gotta figure out how to balance it all, but it's going well. How about you?
2:35 pm on 16 March, 2023 | Gina: Hey Jon! Great to hear from you. Been having some tough times lately.
2:35 pm on 16 March, 2023 | Jon: Oof, sorry to hear that. What's up? Is there anything I can do to help?
2:35 pm on 16 March, 2023 | Gina: Thanks, Jon! Appreciate your offer. Since I lost my job at Door Dash, things have been tough. But here's some good news - I've got something to share!
2:35 pm on 16 March, 2023 | Jon: Wow, that's awesome! Can't wait to hear it!
2:35 pm on 16 March, 2023 | Gina: Yay! My online clothes store is open! I've been dreaming of this for a while now - can't wait to see what happens!
2:35 pm on 16 March, 2023 | Jon: Congrats! That's awesome! What gave you the idea to start the online store?
2:35 pm on 16 March, 2023 | Gina: Thanks! I'm passionate about fashion trends and finding unique pieces. Plus, I wanted to blend my love for dance and fashion, so it was a perfect match.
2:35 pm on 16 March, 2023 | Jon: Wow, that's awesome! Combining your two interests into a store is super cool. Best of luck with it!
2:35 pm on 16 March, 2023 | Gina: Thanks! How is biz going? I hope it's going well!",0,1,1,1,
#104:2078,frame,fn:Being_employed:Employee->Employer,fn:Being_employed,dreams,job,Employee,Employer,Being_employed,pos,none,asserted,False,,frame,True,,,9f80252211d39743,"2:35 pm on 16 March, 2023 | Jon: Wow, that's awesome! Combining your two interests into a store is super cool. Best of luck with it!
2:35 pm on 16 March, 2023 | Gina: Thanks! How is biz going? I hope it's going well!
2:35 pm on 16 March, 2023 | Jon: Thanks for askin', Gina! Losing my job was hard, but I'm livin' my dreams now. Startin' my biz has been tough but I'm gonna make it! I keep facing new challenges, but I'm sure it'll be worth it in the end.
2:35 pm on 16 March, 2023 | Gina: Yeah, starting and running my own biz has had its ups and downs - but it's been an amazing ride!
2:35 pm on 16 March, 2023 | Jon: Yeah, it's been a rollercoaster. But your success really inspires me to keep pushing forward. Your determination is awesome!
2:35 pm on 16 March, 2023 | Gina: Thanks, Jon! Your words are really encouraging. Glad my journey is inspiring others.
2:35 pm on 16 March, 2023 | Jon: Yeah, totally! It's great we both face the same challenges, it motivates us and it's like having a partner to dance with!
2:35 pm on 16 March, 2023 | Gina: Yep! We're both on different paths, but it's nice to have someone to root for us. We can do it!
2:35 pm on 16 March, 2023 | Jon: Definitely! Having someone back us up is great. Let's keep going and reach success together!
2:35 pm on 16 March, 2023 | Gina: Let's keep chasing our dreams, supporting each other, and celebrating achievements. We can do great things together!",0,0,0,1,
