rid,tier,canonical_predicate,predicate,head,tail,head_role,tail_role,frame,polarity,modality,epistemic,hedged,attributed_to,anchor,reified,confidence,verifier_score,evidence_chunk_ids,evidence_text,judge_span,judge_predicate,judge_direction,judge_polarity_modality,notes
#68:10286,frame,fn:Subjective_influence:Agent->Entity,Subjective_influence,Jon,Success,Agent,Entity,Subjective_influence,pos,none,asserted,False,,frame,True,,,d393142c05b9c40f 3b1e5c8cce86ccd0 2920b01b77549548,"Gina: Thanks! How is biz going? I hope it's going well!
Jon: Thanks for askin', Gina! Losing my job was hard, but I'm livin' my dreams now. Startin' my biz has been tough but I'm gonna make it! I keep facing new challenges, but I'm sure it'll be worth it in the end.
Gina: Yeah, starting and running my own biz has had its ups and downs - but it's been an amazing ride!
Jon: Yeah, it's been a rollercoaster. But your success really inspires me to keep pushing forward. Your determination is awesome!
Gina: Thanks, Jon! Your words are really encouraging. Glad my journey is inspiring others.
--- chunk break ---
Jon: Yeah, it's been a rollercoaster. But your success really inspires me to keep pushing forward. Your determination is awesome!
Gina: Thanks, Jon! Your words are really encouraging. Glad my journey is inspiring others.
Jon: Yeah, totally! It's great we both face the same challenges, it motivates us and it's like having a partner to dance with!
Gina: Yep! We're both on different paths, but it's nice to have someone to root for us. We can do it!
Jon: Definitely! Having someone back us up is great. Let's keep going and reach success together!
--- chunk break ---
Jon: I'm wrapping up the business plan and looking for investors. My passion for the project and belief in its success are driving me.
Gina: Wow, Jon! Impressed by your commitment. How's the hunt for investors going?
Jon: Thanks! Searching for investors has been tough, but I'm staying hopeful. It's all a process and I'm learning a ton.
Gina: Yeah Jon, you've got the right attitude! Keep learning and growing through it all. Keep going!
Jon: Thanks! I really appreciate your help. I'm gonna keep on going and never quit.",,,,,
#68:10376,frame,fn:Judgment:Cognizer->Evaluee,Judgment,Gina,kind words,Cognizer,Evaluee,Judgment,pos,none,asserted,False,,frame,True,,,ad628657de4ae815 829474e52c62810b 6a53138043eae380 baed9a599a7af00b,"Jon: Yeah, Gina, thanks for having my back. Here's to taking on new heights, and all the trials that come with it. Cheers!
Jon: Hey Gina, how's it going?
Gina: Hey Jon, my online clothing store has been a roller coaster but rewarding. Starting a business takes courage - you hang in there too!
Jon: Thanks Gina! It's been tough, but I'm gonna make it happen. It's been great! And hey, you're awesome with your store. How's it going?
Gina: Thanks! Appreciate your kind words. Store's going good, just been keeping up with fashion trends so I can offer the best pieces to customers. It's been a lot of work, but really enjoying it. Got any advice or tips on running a successful biz?
--- chunk break ---
Jon: Thanks Gina! It's been tough, but I'm gonna make it happen. It's been great! And hey, you're awesome with your store. How's it going?
Gina: Thanks! Appreciate your kind words. Store's going good, just been keeping up with fashion trends so I can offer the best pieces to customers. It's been a lot of work, but really enjoying it. Got any advice or tips on running a successful biz?
Jon: Yeah, brand identity is key. Make sure yours stands out. Also be sure to build relationships with your customers – let them know you care. And don't forget to stay positive and motivate others. Your energy will be contagious!
Gina: Thanks for the advice, Jon! Building relationships and creating a strong brand image for my store is something I'm always working on. You're right, staying positive is key. What helps you stay motivated with your dance studio business?
Jon: Seeing my students succeed motivates me. It's awesome to help them learn and reach their goals. Your support, Gina, means a lot too. Here's a photo of us after during one of the dance clases.
--- chunk break ---
Jon: Bye!
Gina: ;)
Gina: Hey Jon! Long time no talk! Last week, I built a new website for customers to make orders. It's been a wild ride but I'm loving it. What's up with you? How's the dance studio?
Jon: Hey Gina, congrats on the clothing store! The dance studio is on tenuous grounds right now, but I'm staying positive. I got a temp job to help cover expenses while I look for investors. It's tough, but I'm sure it'll be worth it.
Gina: Thanks, Jon! Appreciate the kind words. Sorry to hear about the studio, but glad to see the positivity. Not easy facing setbacks but I believe in you. Finding investors can be tough, but you've got the passion and experience to make it happen. Rome wasn't built in a day so keep pushing on!
--- chunk break ---
<1 further chunk(s) evoke this frame instance; ids listed>",,,,,
#68:10530,frame,fn:Emotions_by_stimulus:Expressor->Expressor,Emotions_by_stimulus,Gina,Glad,Expressor,Expressor,Emotions_by_stimulus,pos,none,asserted,False,,frame,True,,,db972a3703b7adb4,"Jon: Thanks for being there for me! It's really made a huge difference and it feels great.
Gina: Glad I could help, Jon! It's nice to be part of something positive. Supporting your dreams is awesome!
Jon: Thanks for being there for me. Your help means a lot.
Gina: I'm here for you, rooting for you all the way.
Jon: Thanks, I'm really grateful for your help with staying motivated.",,,,,
#68:12386,frame,fn:Cause_to_be_included:Existing_member->New_member,Cause_to_be_included,Gina,Jon,Existing_member,New_member,Cause_to_be_included,pos,ability,asserted,False,,frame,True,,,fa118a62910b35db,"Jon: Wow, that's great! What made you combine clothing biz and dance?
Gina: Thanks! I'm passionate about dance and fashion so combining them lets me show my creativity and share my love with others. Plus, I can add dance-inspired items to my store!
Jon: Nice work! Combining passions is always cool. How's it going?
Gina: Thanks! So far, so good - customers love the new offers and promotions, which means I'm seeing more sales. People seem to really like my designs, so I'm always on the hunt for unique, trendy pieces. Growing my customer base is the main focus right now.
Jon: Sounds like all your effort's paying off. Anything planned to grow your customer base?",,,,,
#68:12388,frame,fn:Work:Agent->Salient_entity,Work,Jon,work,Agent,Salient_entity,Work,pos,none,asserted,False,,frame,True,,,fa118a62910b35db,"Jon: Wow, that's great! What made you combine clothing biz and dance?
Gina: Thanks! I'm passionate about dance and fashion so combining them lets me show my creativity and share my love with others. Plus, I can add dance-inspired items to my store!
Jon: Nice work! Combining passions is always cool. How's it going?
Gina: Thanks! So far, so good - customers love the new offers and promotions, which means I'm seeing more sales. People seem to really like my designs, so I'm always on the hunt for unique, trendy pieces. Growing my customer base is the main focus right now.
Jon: Sounds like all your effort's paying off. Anything planned to grow your customer base?",,,,,
#68:12446,frame,fn:Cause_expansion:Agent->Item,Cause_expansion,Gina,new offers,Agent,Item,Cause_expansion,pos,none,asserted,False,,frame,True,,,5b83f7abaa5f8406,"Gina: Thanks! So far, so good - customers love the new offers and promotions, which means I'm seeing more sales. People seem to really like my designs, so I'm always on the hunt for unique, trendy pieces. Growing my customer base is the main focus right now.
Jon: Sounds like all your effort's paying off. Anything planned to grow your customer base?
Gina: Yeah, I have a few plans. I'm thinking of working with some fashion bloggers and influencers in the next few months to get more attention for my store. Plus, I'm going to do more ads so I can reach more people. I'm really focused on building my customer base and making my store a top destination for fashion fans. It's awesome to see it all coming together! You, Jon? What do you have going for your dance studio?
Jon: Thanks, Gina! I'm expanding my dance studio's social media presence and offering workshops and classes to local schools and centers. I'm also hosting a dance competition next month to showcase local talent and bring more attention to my studio. All the work's paying off - I'm seeing progress and the dancers are so excited. It's such a great feeling to give a place where people can express themselves through dance!
Gina: Wow! That's fantastic that your studio's expanding and giving dancers an outlet. So proud of the progress you've made - keep it up!",,,,,
#68:14353,frame,fn:Project:Agent->Goal,Project,Gina,work,Agent,Goal,Project,pos,none,asserted,False,,frame,True,,,9980fb0791442115,"Jon: Thanks, Gina! I'm expanding my dance studio's social media presence and offering workshops and classes to local schools and centers. I'm also hosting a dance competition next month to showcase local talent and bring more attention to my studio. All the work's paying off - I'm seeing progress and the dancers are so excited. It's such a great feeling to give a place where people can express themselves through dance!
Gina: Wow! That's fantastic that your studio's expanding and giving dancers an outlet. So proud of the progress you've made - keep it up!
Jon: Thanks! Your backing means a lot. I'm trying to make my plan work, even though it's been tough. Your encouragement really helps. Are you coming to the event next month? Love to have you there!
Gina: Woah, cool event! What's gonna be happening? I'd love to join in and show my support!
Jon: Thanks, Gina! My dance studio and some other schools are bringing their best moves for an awesome night of performances and judging. It'll be super creative and fun. Come join us!",,,,,
#68:14359,frame,fn:Subjective_influence:Agent->Situation,Subjective_influence,Jon,tough,Agent,Situation,Subjective_influence,pos,none,asserted,False,,frame,True,,,9980fb0791442115,"Jon: Thanks, Gina! I'm expanding my dance studio's social media presence and offering workshops and classes to local schools and centers. I'm also hosting a dance competition next month to showcase local talent and bring more attention to my studio. All the work's paying off - I'm seeing progress and the dancers are so excited. It's such a great feeling to give a place where people can express themselves through dance!
Gina: Wow! That's fantastic that your studio's expanding and giving dancers an outlet. So proud of the progress you've made - keep it up!
Jon: Thanks! Your backing means a lot. I'm trying to make my plan work, even though it's been tough. Your encouragement really helps. Are you coming to the event next month? Love to have you there!
Gina: Woah, cool event! What's gonna be happening? I'd love to join in and show my support!
Jon: Thanks, Gina! My dance studio and some other schools are bringing their best moves for an awesome night of performances and judging. It'll be super creative and fun. Come join us!",,,,,
#68:14406,frame,fn:Social_interaction_evaluation:Affected_party->Expressor,Social_interaction_evaluation,Gina,Jon,Affected_party,Expressor,Social_interaction_evaluation,pos,none,asserted,False,,frame,True,,,78649877fba2d573 1f67b5feb15a6adc,"Jon: Cool! Can't wait to see you!
Gina: Thanks, Jon! See you at the event!
Jon: Gina, good luck with your store!
Gina: Thanks, Jon! Appreciate the kind words. <3
Jon: Sure, I am always there for you!
--- chunk break ---
Gina: Thanks, Jon! Appreciate the kind words. <3
Jon: Sure, I am always there for you!
Gina: Thanks! Your support means a lot. I'm gonna keep pursuing my goals and I hope you do too!
Jon: Thanks! I won't quit on my dreams. Your words really motivate me. Bye!
Gina: Bye Jon! You got this! Believe in yourself and keep pushing. Take care!",,,,,
#68:14427,frame,fn:Self_motion:Self_mover->Self_mover,Self_motion,Jon,students,Self_mover,Self_mover,Self_motion,pos,none,asserted,False,,frame,True,,,0606adc021f36412,"Jon: Thanks! I won't quit on my dreams. Your words really motivate me. Bye!
Gina: Bye Jon! You got this! Believe in yourself and keep pushing. Take care!
Jon: Hey Gina! I'm turning my loves of dance into a business. I'm sunk tons of time into the studio lately, and look at my students - they're already killing it. I'm even learning with them!
Gina: Hey Jon! Wow, way to take your passion and make it into a biz! The dance studio looks awesome.
Jon: Thanks, Gina! I'm determined to make this studio work. Losing my job was tough but it gave me the push I needed to do what I love.",,,,,
